Category, Type, Name, Info, Describe, API_List, Source
"Camera","New features and APIs","HDR video capture","Apps can use Camera2 APIs to capture and preview HDR video content.","Apps can use Camera2 APIs to capture and preview HDR video content.","['Camera2']","https://developer.android.com/about/versions/13/features#hdr-video-capture"
"Connectivity","Change (apps targeting 13+)","BluetoothAdapter#enable() and BluetoothAdapter#disable() deprecated","For apps targeting Android 13 (API level 33) or higher, the BluetoothAdapter#enable() and BluetoothAdapter#disable() methods are deprecated and always return false.","For apps targeting Android 13 (API level 33) or higher, the BluetoothAdapter#enable() and BluetoothAdapter#disable() methods are deprecated and always return false.","['BluetoothAdapter#enable', 'BluetoothAdapter#disable']","https://developer.android.com/about/versions/13/behavior-changes-13#bluetooth-adapter"
"Core functionality","Change (all apps)","Legacy copy of speech service implementation removed","Apps should use the device's default provider for SpeechService, rather than hard-coding a specific app.","Apps should use the device's default provider for SpeechService, rather than hard-coding a specific app.","['SpeechService']","https://developer.android.com/about/versions/13/behavior-changes-all#speech-service"
"Core functionality","New features and APIs","OpenJDK 11 updates","Android 13 includes a number of updates to align with the OpenJDK 11 LTS release.","Android 13 includes a number of updates to align with the OpenJDK 11 LTS release.","[]","https://developer.android.com/about/versions/13/features#core-libraries"
"Developer productivity and tools","New features and APIs","Themed app icons","Apps can provide monochromatic app icons that can be styled on a user's device using Material You dynamic color.","Apps can provide monochromatic app icons that can be styled on a user's device using Material You dynamic color.","[]","https://developer.android.com/about/versions/13/features#themed-app-icons"
"Developer productivity and tools","New features and APIs","Per-app language preferences","Apps can use new platform APIs to set or get a user's preferred, per-app language.","Apps can use new platform APIs to set or get a user's preferred, per-app language.","[]","https://developer.android.com/about/versions/13/features/app-languages"
"Performance and battery","Change (all apps)","Improve prefetch job handling using JobScheduler","In Android 13, the system now tries to determine the next time an app will be launched, and uses that estimation to run prefetch jobs.","In Android 13, the system now tries to determine the next time an app will be launched, and uses that estimation to run prefetch jobs. This improvement helps optimize system resources and battery life by better timing when prefetch operations occur.","['JobScheduler']","https://developer.android.com/about/versions/13/behavior-changes-all#prefetch-jobs"
"Performance and battery","Change (all apps)","Battery Resource Utilization","Android 13 introduces Battery Resource Utilization, which provides several ways to better manage device battery life.","Android 13 introduces Battery Resource Utilization, which provides several ways to better manage device battery life. This feature helps developers understand and optimize their apps' impact on device battery life.","[]","https://developer.android.com/about/versions/13/changes/battery"
"Privacy and security","Change (all apps)","Runtime permission for notifications","Android 13 introduces a new runtime notification permission: POST_NOTIFICATIONS.","Android 13 introduces a new runtime notification permission: POST_NOTIFICATIONS. Apps targeting Android 13 must request this permission to post notifications to users. This change gives users more control over which apps can send them notifications.","['POST_NOTIFICATIONS']","https://developer.android.com/about/versions/13/changes/notification-permission"
"Privacy and security","New features and APIs","Safer exporting of context-registered receivers","To help make runtime receivers safer, Android 13 allows you to specify whether a particular broadcast receiver in your app should be exported and visible to other apps on the device.","To help make runtime receivers safer, Android 13 allows you to specify whether a particular broadcast receiver in your app should be exported and visible to other apps on the device. This enhancement helps prevent unauthorized access to your app's broadcast receivers and improves overall app security.","['BroadcastReceiver']","https://developer.android.com/about/versions/13/features#runtime-receivers"
"Privacy and security","New features and APIs","Photo picker","Android 13 includes the photo picker, which allows users to share specific photos and videos with apps while protecting sensitive information in their media library.","Android 13 includes the photo picker, which allows users to share specific photos and videos with apps while protecting sensitive information in their media library. This feature enhances user privacy by giving them more granular control over which media files apps can access.\n\nThe photo picker is available through an intent-based API that doesn't require any special permissions, making it easier for apps to access media while respecting user privacy.","['Intent.ACTION_PICK_IMAGES']","https://developer.android.com/about/versions/13/features#photo-picker"
